block,component,device,latency_ms,order_position,training_seed,variant
40,end_to_end_policy,cpu,0.776207,4,42,Historical KD+PPO Local
40,end_to_end_policy,cpu,2.374084,5,42,Privileged Global Teacher
40,end_to_end_policy,cpu,0.767847,6,42,Historical PPO-only Local (No KD)
40,end_to_end_policy,cpu,1.562513,7,42,Predictive Student (No Switch)
41,end_to_end_policy,cpu,1.035078,0,42,Geo-Residual Student
41,end_to_end_policy,cpu,0.85945,1,42,FastSwitchGLOBE
41,end_to_end_policy,cpu,2.270342,2,42,SwitchGLOBE Exact
41,end_to_end_policy,cpu,2.269383,3,42,Privileged Global Teacher
41,end_to_end_policy,cpu,0.788426,4,42,Historical PPO-only Local (No KD)
41,end_to_end_policy,cpu,1.580676,5,42,Predictive Student (No Switch)
41,end_to_end_policy,cpu,0.444968,6,42,Predictive Prior Only
41,end_to_end_policy,cpu,0.743165,7,42,Historical KD+PPO Local
42,end_to_end_policy,cpu,1.069119,0,42,Geo-Residual Student
42,end_to_end_policy,cpu,0.843575,1,42,FastSwitchGLOBE
42,end_to_end_policy,cpu,2.257552,2,42,SwitchGLOBE Exact
42,end_to_end_policy,cpu,0.800091,3,42,Historical KD+PPO Local
42,end_to_end_policy,cpu,0.774475,4,42,Historical PPO-only Local (No KD)
42,end_to_end_policy,cpu,2.27953,5,42,Privileged Global Teacher
42,end_to_end_policy,cpu,0.581769,6,42,Predictive Prior Only
42,end_to_end_policy,cpu,1.527897,7,42,Predictive Student (No Switch)
43,end_to_end_policy,cpu,0.492321,0,42,Predictive Prior Only
43,end_to_end_policy,cpu,0.728232,1,42,Historical KD+PPO Local
43,end_to_end_policy,cpu,1.068843,2,42,Geo-Residual Student
43,end_to_end_policy,cpu,1.517387,3,42,Predictive Student (No Switch)
43,end_to_end_policy,cpu,0.736911,4,42,Historical PPO-only Local (No KD)
43,end_to_end_policy,cpu,0.884784,5,42,FastSwitchGLOBE
43,end_to_end_policy,cpu,2.247872,6,42,Privileged Global Teacher
43,end_to_end_policy,cpu,2.279177,7,42,SwitchGLOBE Exact
44,end_to_end_policy,cpu,1.085841,0,42,Geo-Residual Student
44,end_to_end_policy,cpu,1.54816,1,42,Predictive Student (No Switch)
44,end_to_end_policy,cpu,2.222235,2,42,SwitchGLOBE Exact
44,end_to_end_policy,cpu,2.249985,3,42,Privileged Global Teacher
44,end_to_end_policy,cpu,0.764978,4,42,Historical KD+PPO Local
44,end_to_end_policy,cpu,0.873222,5,42,FastSwitchGLOBE
44,end_to_end_policy,cpu,0.55064,6,42,Predictive Prior Only
44,end_to_end_policy,cpu,0.716715,7,42,Historical PPO-only Local (No KD)
45,end_to_end_policy,cpu,1.621262,0,42,Predictive Student (No Switch)
45,end_to_end_policy,cpu,0.747984,1,42,Historical KD+PPO Local
45,end_to_end_policy,cpu,0.875904,2,42,FastSwitchGLOBE
45,end_to_end_policy,cpu,1.071029,3,42,Geo-Residual Student
45,end_to_end_policy,cpu,2.254454,4,42,Privileged Global Teacher
45,end_to_end_policy,cpu,0.552524,5,42,Predictive Prior Only
45,end_to_end_policy,cpu,0.708189,6,42,Historical PPO-only Local (No KD)
45,end_to_end_policy,cpu,2.271572,7,42,SwitchGLOBE Exact
46,end_to_end_policy,cpu,1.577424,0,42,Predictive Student (No Switch)
46,end_to_end_policy,cpu,2.286447,1,42,Privileged Global Teacher
46,end_to_end_policy,cpu,0.550138,2,42,Predictive Prior Only
46,end_to_end_policy,cpu,0.752841,3,42,Historical PPO-only Local (No KD)
46,end_to_end_policy,cpu,1.055401,4,42,Geo-Residual Student
46,end_to_end_policy,cpu,0.776326,5,42,Historical KD+PPO Local
46,end_to_end_policy,cpu,2.244134,6,42,SwitchGLOBE Exact
46,end_to_end_policy,cpu,0.893265,7,42,FastSwitchGLOBE
47,end_to_end_policy,cpu,0.900906,0,42,FastSwitchGLOBE
47,end_to_end_policy,cpu,2.261205,1,42,SwitchGLOBE Exact
47,end_to_end_policy,cpu,1.078903,2,42,Geo-Residual Student
47,end_to_end_policy,cpu,0.761315,3,42,Historical KD+PPO Local
47,end_to_end_policy,cpu,2.275392,4,42,Privileged Global Teacher
47,end_to_end_policy,cpu,0.802167,5,42,Historical PPO-only Local (No KD)
